X,Y
شرفو نے اپنے چہرے پر کریم مل لیا۔,شرفو نے اپنے چہرے پر کریم مل لی۔
اسے معلوم تھا کہ چونا شہد کے مکھیوں کے کاٹے کا فوری علاج ہے۔,اسے معلوم تھا کہ چونا شہد کے مکھیوں کے کاٹے کا فوری علاج ہے۔
 اور چونا لگنے کی وجا سے بہت بھیانک لگ رہا تھی۔, اور چونا لگنے کی وجہ سے بہت بھیانک لگ رہا تھا۔
اب اس کی چہرہ سوج کر غبارہ ہو گیا تھی۔,اب اس کا چہرہ سوج کر غبارہ ہو گیا تھا۔
وہ اس کو بھوت سمجھ کر کانپ گیا۔,وہ اسے بھوت سمجھ کر کانپ گیا۔
چیتے نے شرفو کو دیکھی۔,چیتے نے شرفو کو دیکھا۔
اسے گیدڑ پر بھی بھت غصے آ رہا تھا۔,اسے گیدڑ پر بھی بھت غصہ آ رہا تھا۔
چیتا ڈر کر بھاگ گئ۔,چیتا ڈر کر بھاگ گیا۔
اسے دوست نے گلے لگانے کے لئے درخت پر چڑھنا پڑا۔,اسے دوست کو گلے لگانے کے لئے درخت پر چڑھنا پڑا۔
فضلو کو جان میں جان آئی۔,فضلو کی جان میں جان آئی۔
بچے جب مل بیٹھتے ہیں تو کوئی نہ کوئی کھیل ضرور شروع ہو جاتی ہے۔,بچے جب مل بیٹھتے ہیں تو کوئی نہ کوئی کھیل ضرور شروع ہو جاتا ہے۔
بچوں کو کھیلنا سے باز نہیں رکھا جا سکتا۔,بچوں کو کھیلنے سے باز نہیں رکھا جا سکتا۔
کچھ کھیل ایسے ہوتے ہیں جو کمروں میں کھیلے جاتی ہیں اور کچھ میدانی کھیل ہوتے ہیں۔,کچھ کھیل ایسے ہوتے ہیں جو کمروں میں کھیلے جاتے ہیں اور کچھ میدانی کھیل ہوتے ہیں۔
آپ بھی بہت سے کھیل کھیلے ہوں گے۔,آپ بھی بہت سے کھیل کھیلتے ہوں گے۔
آپ کے تفریح کے لئے کچھ اور کھیل بتائے جاتے ہیں۔,آپ کی تفریح کے لئے کچھ اور کھیل بتائے جاتے ہیں۔
ہو سکتی ہے کہ یہ آپ کے لئے بالکل نئے ہوں۔,ہو سکتا ہے کہ یہ آپ کے لئے بالکل نئے ہوں۔
ایسی صورت میں آپ اور آپ کے ساتھی بہت لطف اندوز ہوں گی۔,ایسی صورت میں آپ اور آپ کے ساتھی بہت لطف اندوز ہوں گے۔
گھر کا اندر یا باہر کھیلا جاسکتا ہے۔,گھر کے اندر یا باہر کھیلا جاسکتا ہے۔
یورپ میں بچے اس کھیل کو بہت شوک سے کھیلتے ہیں۔,یورپ میں بچے اس کھیل کو بہت شوق سے کھیلتے ہیں۔
باقی سب بچے انگلیاں پکڑ کر مداری کے گرد حلقہ بنا کر ناچتے ہیں اور کوئی سا گیت گاتے ہیں۔,باقی سب بچے انگلیاں پکڑ کر مداری کے گرد حلقہ بنا کر ناچتے ہیں اور کوئی سا گیت گاتے ہیں۔
مداری اپنی ڈنڈا کسی بچے کی طرف کرتا ہے۔,مداری اپنا ڈنڈا کسی بچے کی طرف کرتا ہے۔
وہ بچہ حلقے کے اندر آکر ڈنڈے کی دوسرا سرا تھام لیتا ہے۔,وہ بچہ حلقے کے اندر آکر ڈنڈے کا دوسرا سرا تھام لیتا ہے۔
اگر اس کا اندازا ٹھیک ہو تو مداری حلقے میں چلا جاتا ہے۔,اگر اس کا اندازہ ٹھیک ہو تو مداری حلقے میں چلا جاتا ہے۔
ایک بات کا دھیان رکھے کہ ڈنڈا زیادہ لمبا یا نوکیلا نہ ہو۔,ایک بات کا دھیان رکھیں کہ ڈنڈا زیادہ لمبا یا نوکیلا نہ ہو۔
مداری کی آنکھیں بند ہوتے ہیں۔,مداری کی آنکھیں بند ہوتی ہیں۔
اور یہ ڈنڈا کسی کہ مونہہ یا آنکھ پر لگ سکتا ہے۔,اور یہ ڈنڈا کسی کے مونہہ یا آنکھ پر لگ سکتا ہے۔
اندھیرے میں مچھلی پکڑنا یہ کھیل چین پر بہت کھیلا جاتا ہے۔,اندھیرے میں مچھلی پکڑنا یہ کھیل چین میں بہت کھیلا جاتا ہے۔
ہر بچہ اپنی نام کسی مچھلی کے نام پر رکھ لیتا ہے۔,ہر بچہ اپنا نام کسی مچھلی کے نام پر رکھ لیتا ہے۔
اب ایک کھلاڑی کو مچھیرا چن لی جاتا ہے۔,اب ایک کھلاڑی کو مچھیرا چن لیا جاتا ہے۔
اس کے آنکھوں پر پٹی باندھ دی جاتا ہے۔,اس کی آنکھوں پر پٹی باندھ دی جاتی ہے۔
مچھیرا ایک ہی جگہ پر کھڑا رہتی ہے۔,مچھیرا ایک ہی جگہ پر کھڑا رہتا ہے۔
"اس کے گرد اندھیرا سمندر ہے، جس میں مختلف ناموں کی مچھلیاں تیر رہی ہے۔","اس کے گرد اندھیرا سمندر ہے، جس میں مختلف ناموں کی مچھلیاں تیر رہی ہیں۔"
مچھلیاں آتے ہیں اور اسے چھوکر نکل جاتی ہیں۔,مچھلیاں آتی ہیں اور اسے چھوکر نکل جاتی ہیں۔
مچھیرا انہیں پکڑنے کا کوشش کرتا ہے۔,مچھیرا انہیں پکڑنے کی کوشش کرتا ہے۔
اگر کوئی مچھلی اس کا ہاتھ لگ جائے تو وہ اس کا نام پکارتا ہے۔,اگر کوئی مچھلی اس کے ہاتھ لگ جائے تو وہ اس کا نام پکارتا ہے۔
بچوں پے بہت چستی پیدا کرتا ہے۔,"سوم منگل
یہ میدان کھیل گیند سے کھیلا جاتا ہے اور بچوں میں بہت چستی پیدا کرتا ہے۔"
اس کھیل کے لئے کم ازکم سات بچے ہونے چاہیے۔,اس کھیل کے لئے کم ازکم سات بچے ہونے چاہئیں۔
"اگر بچے سات سے زیادہ ہوں تو کھیل کا نام سوم منگل کی بجائے جنوری، فروری ہو جاتی ہے۔","اگر بچے سات سے زیادہ ہوں تو کھیل کا نام سوم منگل کی بجائے جنوری، فروری ہو جاتا ہے۔"
کھیلنے والے بچوں کو اگر وہ سات ہوں تو ہفتے کے سات دنوں کے نام دیئے جاتے ہے۔,کھیلنے والے بچوں کو اگر وہ سات ہوں تو ہفتے کے ساتھ دنوں کے نام دیئے جاتے ہیں۔
اگر سات سے زیادہ ہوں تو مہینوں کے نام دے دیئے جاتا ہیں۔,اگر سات سے زیادہ ہوں تو مہینوں کے نام دے دیئے جاتے ہیں۔
لیکن دیوار سے ٹکرا کر آنے والا گیند صرف وہی بچہ دبوچےگی جس کا نام سوم گیند پھینکتے وقت پکارے گا۔,لیکن دیوار سے ٹکرا کر آنے والی گیند صرف وہی بچہ دبوچےگا جس کا نام سوم گیند پھینکتے وقت پکارے گا۔
جس لرکے کا نام لیا گیا ہے اگر وہ گیند کو پکڑ لیتا ہے تو وہ کسی اور لرکے کا نام لے کر گیند کو دیوار سے ٹکرائےگا۔,جس لڑکے کا نام لیا گیا ہے اگر وہ گیند کو پکڑ لیتا ہے تو وہ کسی اور لڑکے کا نام لے کر گیند کو دیوار سے ٹکرائےگا۔
منگل گیند سے کھیل شروع کری گا۔,منگل گیند سے کھیل شروع کرےگا۔
اگر وہ نشانہ نہیں لگا سکا تو وہ گیند چھوڑ دی گا۔,اگر وہ نشانہ نہیں لگا سکا تو وہ گیند چھوڑ دے گا۔
جو بچا تین بار گیند کا نشانہ بن جائے وہ آؤٹ سمجھا جائےگا۔,جو بچہ تین بار گیند کا نشانہ بن جائے وہ آؤٹ سمجھا جائےگا۔
یہ انتہائی پرلطف کھیل جرمنی کی بچوں میں بہت مقبول ہے۔,یہ انتہائی پرلطف کھیل جرمنی کے بچوں میں بہت مقبول ہے۔
اس سے اجنبی بچے بھی بہت جلد ایک دوسرے کو دوست بن جاتے ہیں۔,اس سے اجنبی بچے بھی بہت جلد ایک دوسرے کے دوست بن جاتے ہیں۔
اس کھیل میں سب بچے ایک دائرہ میں کھڑے ہو جاتے ہیں۔,اس کھیل میں سب بچے ایک دائرے میں کھڑے ہو جاتے ہیں۔
یا بیٹھ جاتا ہیں۔,یا بیٹھ جاتا ہے۔
وہ سب نہایت سنجیدہ اور گمبھیر شکلیں بنا لیتا ہیں۔,وہ سب نہایت سنجیدہ اور گمبھیر شکلیں بنا لیتے ہیں۔
اب ایک کھلاری مسکرانا شروع کر دیتا ہے۔,اب ایک کھلاڑی مسکرانا شروع کر دیتا ہے۔
وہ خود سنجیدہ بن جاتا ہے۔,وہ خود سنجیدہ ہو جاتا ہے۔
اس کھیل کا ضروری اسول یہ ہے کہ صرف وہی کھلاڑی مسکرائے جس کی طرف مسکراہٹ پھینکی جائے۔,اس کھیل کا ضروری اصول یہ ہے کہ صرف وہی کھلاڑی مسکرائے جس کی طرف مسکراہٹ پھینکی جائے۔
اگر کوئی اور کھلاڑی ہنسے یا مسکرائےگا تو اسے دائرہ سے خارج کر دی جائےگا۔,اگر کوئی اور کھلاڑی ہنسے یا مسکرائےگا تو اسے دائرے سے خارج کر دیا جائےگا۔
اس کھیل میں کمرا کے درمیان ایک پردا لٹکا دیا جاتا ہے۔,اس کھیل میں کمرے کے درمیان ایک پردہ لٹکا دیا جاتا ہے۔
بچے دوبرابر کی ٹولیاں بنا لیتا ہیں۔,بچے دوبرابر کی ٹولیاں بنا لیتے ہیں۔
ایک ٹولی پردے کے ایک طرف اور دوسری پردے کے دوسری طرف کھڑی ہو جاتی ہے۔,ایک ٹولی پردے کے ایک طرف اور دوسری پردے کے دوسری طرف کھڑی ہو جاتی ہے۔
ایک ٹولی کا ہر کھلاڑی باری باری زور سے ہنستا ہے۔,ایک ٹولی کا ہر کھلاڑی باری باری زور سے ہنستا ہے۔
اس طرح ایک ٹولی ہنستا اور دوسری پہچانتا ہے۔,اس طرح ایک ٹولی ہنستی اور دوسری پہچانتی ہے۔
بچے مصنوعی ہنسی ہنسنے کا کوشش کرتے ہیں۔,بچے مصنوعی ہنسی ہنسنے کی کوشش کرتے ہیں۔
اس کھیل کے نام ہے ’’کون ہنسا؟‘‘۔,اس کھیل کا نام ہے ’’کون ہنسا؟‘‘۔
یہ ایک آسان اور لطف کھیل ہے۔,یہ ایک آسان اور پرلطف کھیل ہے۔
اسے چھوٹے بچہ بڑا دلچسپی سے کھیلتے ہیں۔,اسے چھوٹے بچے بڑی دلچسپی سے کھیلتے ہیں۔
اس کھیل میں بچے دو برابر کی ٹولیوں میں بٹ کر آمنے سامنے بیٹھ جاتا ہیں۔,اس کھیل میں بچے دو برابر کی ٹولیوں میں بٹ کر آمنے سامنے بیٹھ جاتے ہیں۔
بیچ پر کافی جگہ کھلی رہ جاتا ہے۔,بیچ میں کافی جگہ کھلی رہ جاتی ہے۔
اب دونوں ٹولیاں میں سے ایک ایک بچہ بیچ میں آ جاتا ہے۔,اب دونوں ٹولیوں میں سے ایک ایک بچہ بیچ میں آ جاتا ہے۔
دونوں کی آنکھوں پر ہٹی باندھ دی جاتا ہے۔,دونوں کی آنکھوں پر ہٹی باندھ دی جاتی ہے۔
ایک بچہ چوہا ہوتی ہے اور دوسرا بلی۔,ایک بچہ چوہا ہوتا ہے اور دوسرا بلی۔
بلی ایک سرے سے اور چوہا دوسری سرے سے چلتا ہے۔,بلی ایک سرے سے اور چوہا دوسرے سرے سے چلتا ہے۔
خوب جوش و خروش کی مظاہرہ ہوتا ہے۔,خوب جوش و خروش کا مظاہرہ ہوتا ہے۔
اگر بلی چوہے کو پکڑ لے تو مخالف پارٹی کی ایک رکن کم ہو جاتی ہے۔,اگر بلی چوہے کو پکڑ لے تو مخالف پارٹی کا ایک رکن کم ہو جاتا ہے۔
 اور وہ ایک اور چوہا پیش کرتی ہے۔,اگر بلی چوہے کو پکڑ لے تو مخالف پارٹی کا ایک رکن کم ہو جاتا ہے اور وہ ایک اور چوہا پیش کرتی ہے۔
اگر بلی ہار جائے تو جیتنے والی پارٹی بلی اور ہارنے والی پارٹی چوہا بھیجتا ہے۔,اگر بلی ہار جائے تو جیتنے والی پارٹی بلی اور ہارنے والی پارٹی چوہا بھیجتی ہے۔
اس طرح یہ دلچسپ کھیل کافی دیر تک چلتی ہے۔,اس طرح یہ دلچسپ کھیل کافی دیر تک چلتا ہے۔
اس کھیل پے ایک بچے کو ریچھ بنایا جاتا ہے۔,اس کھیل میں ایک بچے کو ریچھ بنایا جاتا ہے۔
اسے کہیں چھپ جانے کی اجازت تھا۔,اسے کہیں چھپ جانے کی اجازت ہے۔
باقی بچے اس کی طرف نہیں دیکھتا۔,باقی بچے اس کی طرف نہیں دیکھتے۔
پچاس یا سو تک گنتی کے بعد سب بچے اپنے گھر سے ریچھ کا تلاش کرنے نکلتے ہیں۔,پچاس یا سو تک گنتی کے بعد سب بچے اپنے گھر سے ریچھ کو تلاش کرنے نکلتے ہیں۔
ریچھ ان کا پیچھا کرتی ہے۔,ریچھ ان کا پیچھا کرتا ہے۔
جو بچہ گھر نہ لوٹ سکے اور پکڑی جائے وہ بھی ریچھ بن جاتا ہے۔,جو بچہ گھر نہ لوٹ سکے اور پکڑا جائے وہ بھی ریچھ بن جاتا ہے۔
اب دو ریچھ چھپنے جاتی ہیں اور باقی بچے انہیں تلاش کرتے ہیں۔,اب دو ریچھ چھپنے جاتے ہیں اور باقی بچے انہیں تلاش کرتے ہیں۔
اس طرح ریچھوں کی تعداد بڑھتی جاتا ہے۔,اس طرح ریچھوں کی تعداد بڑھتی جاتی ہے۔
کئی بار صرف ایک بچہ ہی تلاش کرنے والی رہ جاتی ہے اور سب ریچھٍ اسے گھیر لیتے ہیں۔,کئی بار صرف ایک بچہ ہی تلاش کرنے والا رہ جاتا ہے اور سب ریچھ اسے گھیر لیتے ہیں۔
یہ ضروری نہیں کے سب ریچھ ہی پیچھا کرنے کے لئے نکلیں۔,یہ ضروری نہیں کہ سب ریچھ ہی پیچھا کرنے کے لئے نکلیں۔
اگر تھوڑے بچے رہ جاۓ تو ریچھ بھی تھوڑے ہی باہر نکلتے ہیں۔,اگر تھوڑے بچے رہ جائیں تو ریچھ بھی تھوڑے ہی باہر نکلتے ہیں۔
اور کھیل دوبارہ شروع ہو جاتی ہے۔,اور کھیل دوبارہ شروع ہو جاتا ہے۔
جب کوئی بچہ نہ رہا تو سب ریچھ اپنی پنا گاہوں میں سے باہر نکلتے ہیں۔,جب کوئی بچہ نہ رہے تو سب ریچھ اپنی پناہ گاہوں سے باہر نکلتے ہیں۔
بھئی ہمیں بھی ایک کہانی یاد ہیں۔,بھئی ہمیں بھی ایک کہانی یاد ہے۔
کہو تو صنا دیں!,کہو تو سنا دیں!
ابا جان کو بھی کہانیاں یاد ہے۔,ابا جان کو بھی کہانی یاد ہے۔
ابا جان بھی کہانی سنائے گے۔,ابا جان بھی کہانی سنائیں گے۔
سنائے ابا جان۔,سنائیے ابا جان۔
ابا جان سنائے نا۔,ابا جان سنائیے نا۔
سب بچے سوچنے لگے کہ بادشاہ غریب بھی ہو سکتا ہے یا نہیں؟ شاید ہوتا ہو اگلے زمانے میں۔,سب بچے سوچنے لگے کہ بادشاہ غریب بھی ہو سکتا ہے یا نہیں؟ شاید ہوتا ہو اگلے زمانے میں۔
بھائی جان سے رہا نہ گئ۔,بھائی جان سے رہا نہ گیا۔
"کہنے لگے ’’یہ تو عجیب بے معنی کہانی ہے، جس کی سر نہ پیر۔","کہنے لگے ’’یہ تو عجیب بے معنی کہانی ہے، جس کا سر نہ پیر۔"
"ابا جان بولے ’’کیوں بھئی کون سا مشکل بات ہے، جو تمہاری سمجھ میں نہیں آتی۔","‘‘ 

ابا جان بولے ’’کیوں بھئی کون سی مشکل بات ہے، جو تمہاری سمجھ میں نہیں آتی۔"
منجھلے بھائی نے کہا ’’سمجھ میں توآتی ہے مگر پتا نہیں چلتا۔,"‘‘ 

منجھلے بھائی نے کہا ’’سمجھ میں توآتی ہے مگر پتہ نہیں چلتا۔"
‘‘ یہ سن کر سب ہنس پڑی ’’خب بھئی خوب۔,‘‘ یہ سن کر سب ہنس پڑے ’’خب بھئی خوب۔
سمجھ میں آتی ہے اور پتہ نہیں چلتی۔,سمجھ میں آتی ہے اور پتہ نہیں چلتا۔
‘‘ آپا نے کہا ’’ابا جان بادشاہ غریب تھی۔,‘‘ آپا نے کہا ’’ابا جان بادشاہ غریب تھا۔
 اور پھر ان کو جیب میں کیسے رکھ لی۔, اور پھر ان کو جیب میں کیسے رکھ لیا۔
تو اس نے فقیروں کو بلا کر سونے چاندی کی کھیر کیسے کھلایا۔,تو اس نے فقیروں کو بلا کر سونے چاندی کی کھیر کیسے کھلائی اور پھر ان کو جیب میں کیسے رکھ لیا۔
مزا یہ کہ بادشاہ کے پاس کوئی آتا بھی نہیں تھی۔,مزا یہ کہ بادشاہ کے پاس کوئی آتا بھی نہیں تھا۔
یہ امیر وزیر کہاں سی آ گئے۔,یہ امیر وزیر کہاں سے آ گئے۔
شکار میں قلم اور کاغذ کی بہار کی مطلب کیا ہے۔,شکار میں قلم اور کاغذ کی بہار کا مطلب کیا ہے۔
اور پھر لطف یہ کہ سمندر کا میدان اور ایسا تنگ کہ وہاں مچھر سے جنگ نہیں ہو سکتا۔,اور پھر لطف یہ کہ سمندر کا میدان اور ایسا تنگ کہ وہاں مچھر سے جنگ نہیں ہو سکتی۔
پھر بیچ میں یہ بی چڑیا کہاں سے کود پڑیں جو اپنے چڑے کی بیاہ کرنے والی ہیں۔,پھر بیچ میں یہ بی چڑیا کہاں سے کود پڑیں جو اپنے چڑے کا بیاہ کرنے والی ہیں۔
مگر مچھ کو اپنے گھونسلے میں بلاتا ہیں اور سمندر میں نہیں جانا چاہتیں۔,مگر مچھ کو اپنے گھونسلے میں بلاتی ہیں اور سمندر میں نہیں جانا چاہتیں۔
ننھی بولا’’توبہ توبہ۔,ننھی بولی’’توبہ توبہ۔
آپا جان نے تو بکھیڑا نکال دی۔,آپا جان نے تو بکھیڑا نکال دیا۔
ایسی اچھی کہانی ابا جان کہہ رہے ہے۔,ایسی اچھی کہانی ابا جان کہہ رہے ہیں۔
میرا سمجھ میں تو سب کچھ آتا ہے۔,میری سمجھ میں تو سب کچھ آتا ہے۔
سنائیے ابا جان پھر کیا ہوئ۔,سنائیے ابا جان پھر کیا ہوا۔
ابا جان نے کہا’’بس ننھی میری باتوں کو سمجھتا ہے۔,ابا جان نے کہا’’بس ننھی میری باتوں کو سمجھتی ہے۔
نھی نے کہا ’’خاک مزا آتی ہے۔,نھی نے کہا ’’خاک مزا آتا ہے۔
تم تو سب کہانی کو بیچ میں کاٹ دیتے ہوں۔,تم تو سب کہانیوں کو بیچ میں کاٹ دیتے ہوں۔
ہاں ابا جان جلاہے کا ہاتھی ڈر کر پرے ہٹ گیا ہوگی۔,ہاں ابا جان جلاہے کا ہاتھی ڈر کر پرے ہٹ گیا ہوگا۔
تو پھر کیا ہوئ۔,تو پھر کیا ہوا۔
کہانی بنانی والے نے یہی لکھا ہے۔,کہانی بنانے والے نے یہی لکھا ہے۔
ابا اب میں سمجھ۔,ابا اب میں سمجھا۔
اب مین سمجھا۔,اب میں سمجھا۔
آگے سنائی ابا جان جی۔,آگے سنائیے ابا جان جی۔
جی ہاں بڑی زبردست چوہیا تھا نا۔,جی ہاں بڑی زبردست چوہیا تھی نا۔
 ابا جان ہماری آزمانے کے لئے کہانی کہہ رہا ہیں۔, ابا جان ہماری آزمانے کے لئے کہانی کہہ رہے ہیں۔
اب بچوں کو معلوم ہوگیا تھی۔,اب بچوں کو معلوم ہوگیا تھا۔
سلسلہ ٹوٹتا تھا تو اس کو برا معلوم ہوتی تھی۔,سلسلہ ٹوٹتا تھا تو اس کو برا معلوم ہوتا تھا۔
"ابا جان نے کہا ’’بیٹی میں تو کہتا ہوں، یہ لوگ کہنے نہیں دیتی۔","ابا جان نے کہا ’’بیٹی میں تو کہتا ہوں، یہ لوگ کہنے نہیں دیتے۔"
ہاں میں کیا کہہ رہا تھی۔,ہاں میں کیا کہہ رہا تھا۔
لیجئے بادشاہ پھر آ گئی اور چڑیا بھی آ گیا۔,لیجئے بادشاہ پھر آ گیا اور چڑیا بھی آ گئی۔
چڑیا بھی مونچھوں والا۔,چڑیا بھی مونچھوں والی۔
