X,Y
یہاں کے آموں کو میٹھے پایا۔,یہاں کے آموں کو میٹھا پایا۔
علم اور نیک چینی انسان کا درجہ بڑھا دیتی ہے۔,علم اور نیک چلنی انسان کا درجہ بڑھادیتے ہیں۔
"تعزیرات پاکستان "" چھپ گئیں۔",تعزیرات پاکستان چھپ کئی۔
درخت سے طوطے اور چڑیاں اڑ گئیں۔,درخت سے طوطے اور چڑیاں اڑ گئے-
مکاتیب غالب چھپ گئیں۔,مکاتیب غالب چھپ گئی۔
باپ بیٹا آرہا ہے۔,باپ بیٹا آرہے ہیں۔
کلیات اقبال چھپ گئیں۔,کلیات اقبال چھپ گئی۔
کیا آپ نے اخبار خریدی ہے۔,کیا آپ نے اخبار خریدا ہے۔
معمولی بات پر ماموں بھا نجا لڑ پڑا۔,معمولی بات پر ماموں بھا نجالڑ پڑے۔
اک ذرا شاخ نشیمن کو جھکی رہنے دو۔,اک ذرا شاخ نشیمن کو منجھ کارہنے دو۔
ماں ، باپ، بھائی کوئی ساتھ نہ جائیں گے۔,ماں ، باپ، بھائی کوئی ساتھ نہ جائے گا۔
جلسے میں عورتیں بھی آئی ہو ئیں تھیں۔,جلسے میں عورتیں بھی آئی ہوئی تھیں۔
ساز و سامان ، دکانیں زمین سب کچھ کیا,ساز و سامان، دکانیں، زمین سب کچھ بک گیا۔
ولی کو ولی پہچانتے ہیں۔,ولی کو دلی پہچانتا ہے۔
اس کا مکان ، دکانیں اور جائید ادسب بک کم,اس کا مکان ، دکانیں اور جائیداد سب بک گیا۔
گھوڑا گاڑی تک گئے۔,گھوڑا گاڑی پک گئی۔
دو چنگ اور ایک کرسی ٹوٹ گئیں۔,ہیں اور ایک کرسی ٹوٹ گئی۔
"میں نے آج کی "" جنگ "" پڑھی۔","میں نے آج کا "" جنگ "" پڑھا۔"
اس کا گھر بار ا مال اسباب سب کچھ ہک گئے۔,اس کا گھر بار سال اسباب سب کچھ بک گیا۔
میں نے وہاں کے آموں کو میٹھے پایا۔,میں نے وہاں کے آموں کو میٹھا پایا۔
ایسی باتوں سے رعب و قار جاتے رہتے ہیں۔,ایسی باتوں سے رعب و قار جاتا رہتا ہے۔
قلم دوات رکھے ہیں۔,قلم دوات رکھی ہے۔
آج ہم نے میچ کھیلتا ہے۔,آج ہمیں میچ کھیلتا ہے۔
اسلم شام کے پانچ بچے اکرم کو ملا۔,اسلم شام کے پانچ بجے اکرم سے ملا۔
تم تو ناک پر چھر نہیں بیٹھنے دیتے۔,تم تو ناک پر مکھی نہیں بیٹھنے دیتے۔
صاحب کا حکم سر ماتھے پر۔,صاحب کا حکم سر آنکھوں پر۔
اگر ممکن ہو سکے تو میر اکام کر دیجیے۔,اگر ممکن ہو تو میر اکام کر دیجیے۔
براہ مہربانی فرما کر خط کا جواب جلدی دینا۔,مہربانی فرما کر خط کا جواب جلدی دینا۔
و تو ہمیشہ بے پر کی سناتی ہے۔,وہ تو ہمیشہ بے پر کی اڑاتی ہے۔
یہ صورت تو آفت کی پر کالہ ہے۔,یہ عورت تو آفت کا پر کالہ ہے۔
میں نے ریلوے کی ٹکٹیں فرید ہیں۔,میں نے ریلوے کے ٹکٹ خریدے۔
بارش سے کمرے کا چھت چپکنے لگے۔,بارش سے کمرے کی محبت چپکنے لگی۔
آن دو آدمیوں میں خوب جنگ ہوا۔,آج دو آدمیوں میں خوب جنگ ہوئی۔
بچوں نے مل کر کمرہ میں جھاڑو دیا۔,بچوں نے مل کر کمرہ میں جھاڑو دی۔
کو ا اور چیل اڑ گیا۔,کوا اور چیل اڑ گئی۔
میرا جیب کٹ گیا۔,میری جیب کٹ گئی۔
نیکی کا ارادہ اختیار کرو۔,نیکی کی راہ اختیار کرو۔
ضد کرنی اچھی نہیں۔,ضد کرنا اچھا نہیں۔
میں نے عرض کیا تھا۔,میں نے عرض کی تھی۔
بر فرداری شائستہ آگئی۔,برخوردار شائستہ آگئی۔
عرب انبیاؤں اور اولیاؤں کی سرزمین ہے۔,حرب انبیاء اور اولیاء کی سر زمین ہے۔
اس نے گاجر کا مربع کھایا۔,اس نے گاجر کا مربہ کھایا۔
قاضی نے فتوا دے دیا۔,قاضی نے فتویٰ دے دیا
یے راستہ شارع عام نہیں ہے۔,یہ شارع عام نہیں ہے۔
خواص تھی آج کل مشکل سے ملتا ہے۔,خالص تھی آج کل مشکل سے ملتا ہے۔
شب برات کی رات برکت والی ہے۔,شب برات برکت والی ہے۔
یہ سائن بڑ امر ادار ہے۔,یہ سائن بڑا خریدار ہے۔
دیکھنے دینے میں بڑا فرق ہے۔,دیکھنے اور سنتے میں بڑا فرق ہے۔
نہ معلوم افراد نے اُسے لوٹ لیا۔,نا معلوم افراد نے اُسے لوٹ لیا۔
میں اس معاملے کی تفتیش کروں گا۔,میں اس معاملے کی تحقیق کروں گا۔
آپ کی مزاج کیسی ہے ؟,آپ کا مزاج کیسا ہے ؟
یہ دہی بہت کھتی ہے۔,یہ دہی بہت کھٹا ہے۔
اس کا سانس پھولا ہوا ہے۔,اس کی سانس پھولی ہوئی ہے۔
السلام و علیکم۔,السلام عليكم۔
ما اور مضان کا مہینہ بھی آگیا۔,رمضان کا مبینہ بھی آگیا۔
برائے مہربانی کر کے بیٹھ جائیں۔,یر اور مہربانی بیٹھ جائیں۔
کو ہ ہمالیہ پہار بہت اونچا ہے۔,کوہ ہمالیہ بہت اونچا ہے۔
دوبڑا بے پرواہ ہے۔,وہ پرانا پرواہ ہے۔
یہ پھول آپ کی نظر کر تا ہوں۔,یہ پھول آپ کی نذر کرتا ہوں۔
وہ بے نافہ سکول جاتا ہے۔,وہ بلا ناقہ سکول جاتا ہے۔
عید الضحی مسلمانوں کا مذہبی تہوار ہے ۔,عید الاضحی مسلمانوں کا مذہبی تہوار ہے۔
میں نے تمہارا حساب بے باک کر دیا۔,میں نے تمہارا حساب بے باق کر دیا۔
بھوکے کو کھاناکھلانا صواب ہے۔,بھوکے کو کھانا کھلانا ثواب ہے۔
نقطہ چینی کرنا بھی کوئی کام ہے۔,حمتہ چینی کر نا بھی کوئی کام ہے۔
تم اپنا ڈیٹا سیٹ بھیجا۔,تم اپنا ڈیٹا سیٹ بھیجنا۔
ہے فضول بات مت کرو۔,فضول بات مت کرو۔
بچے ما صوم ہوتے ہیں۔,بچے معصوم ہوتے ہیں۔
عرض پاک خوبصورت ہے۔,ارض پاک خوبصورت ہے۔
یہ چیزیں تو سر کہ شدہ ہیں۔,یہ چیزیں تو سرقہ شدہ ہیں۔
اس کپڑے کا ارض چالیس میٹر ہے۔,اس کپڑے کا عرض چالیس میٹر ہے۔
فقیر نے سید الگائی صدا خوش رہو۔,فقیر نے صدالگائی سدا خوش رہو۔
پیاز میں سرقہ ڈالو۔,پیاز میں سرکہ ڈالو۔
اس کا مال و متا بکھر گیا۔,اس کا مال و متاع بکھر گیا۔
اس میں آپ کی فارہ ہے۔,اس میں آپ کی فلاح ہے۔
باتل کے سامنے مت مت جھکو ۔,باطل کے سامنے مت جھکو۔
اس آم کا ضائقہ ٹھیک نہیں۔,اس آم کا ذائقہ ٹھیک نہیں۔
میں آپ کا مشکور ہوں۔,میں آپ کا شکر گزار ہوں۔
آپ کا غریب خانہ کہاں ہے ؟,آپ کا دولت خانہ کہاں ہے ؟
کو لمبس نے امریکا ایجاد کیا۔,کو لمبیس نے امریکا دریافت کیا۔
وہ آئے روز غیر حاضر رہتا ہے۔,وہ آئے دن غیر حاضر رہتا ہے۔
وہ قصہ سے لال سرخ ہو گیا۔,وہ غصہ سے لال پیلا ہو گیا۔
شور کی وجہ سے میری نیند کھل گئی۔,شور کی وجہ سے میری آنکھ کھل گئی۔
اسلام آباد پاکستان کا دار خلاقہ ہے۔,اسلام آباد پاکستان کا دانا حکومت ہے۔
یہ بلکل ٹھیک ہے۔,یہ بالکل ٹھیک ہے۔
سرخ سیاہی سے نہ لکھ۔,سرخ روشنائی سے نہ لکھ۔
شکریا حذیفہ بھائی۔,شکریہ حذیفہ بھائی۔
یہ آپ کی کرم نوازی ہے۔,یہ آپ کی کرم فرمائی ہے۔
اس پر یہ مثال صادر آتی ہے۔,اس پر یہ مثال صادق آتی ہے۔
تمہاری مرض خطرناق ہے۔,تمہاری مرض خطرناک ہے۔
اس کی بیوی لڑاکی ہے۔,اس کی بیوی لڑاکا ہے۔
وہ صحیح سالم پہنچ گیا۔,وہ صحیح سلامت پہنچ گیا۔
چو ہے باکثرت مر رہے ہیں۔,چوہے بکثرت مر رہے ہیں۔
وہ بہت گالیاں نکالتا ہے۔,وہ بہت گالیاں دیتا ہے۔
گائے کے اوپر مضمون لکھو۔,گائے پر مضمون لکھو۔
چور کی ڈاڑھی میں چاول کا دانہ۔,چور کی داڑھی میں تنکا۔
پاکستان دن بدن ترقی کر رہا ہے۔,پاکستان روز بروز ترقی کر رہا ہے۔
ایک انار کئی بیمار۔,ایک انار سو بیمار۔
آسمان سے گرا درخت میں اٹکا۔,آسمان سے گرا کھجور میں اٹکا۔
باپ باپ ہوتی ہے۔,باپ باپ ہوتا ہے۔
آپ کو تار ملی,آپ کا تار ملا۔
آپ کی تارمل گئی,آپ کا تارمل گیا۔
آپ کی قلم کہاں ہے,آپ کا قلم کہاں ہے؟
آپ کی مزاج کیسی ہے؟,آپ کا مزاج کیسا ہے؟
آپ نے اپنی قلم کہاں سے خریدی,آپ نے اپنا قلم کہاں سے خریدا؟
آپ نے بازار جانا ہے,آپ کو بازار جانا ہے۔
آپ نے لاہور جانا ہے۔,آپ کو لاہور جانا ہے۔
آپ نے مجھے تارکیوں نہ بھیجی؟,آپ نے مجھے تارکیوں نہ بھیجا ؟
آپ نے یہ میز کب خریدا؟,آپ نے یہ میز کب خریدی
آواز اچھا بناؤ.,آواز اچھی بناؤ۔
آج کی اخبار کھو گئی ہے,آج کا اخبار کھو گیا ہے۔
اب انھوں نے کھیلنا تھا,اب انھیں کھیلنا تھا
عباس تالب الم ہے۔,عباس طالب علم ہے۔
اپنا راہ لو۔,اپنی راہ لو۔
اپنی اپنی کھیل جاری رکھو,اپنا اپنا کھیل جاری رکھو
اچھی خواب دیکھو,اچھا خواب دیکھو
احمد نے سیالکوٹ سے آنا تھا۔,احمد کو سیالکوٹ سے آنا تھا۔
اس کا اُردو اچھا نہیں۔,اس کی اُردُو اچھی نہیں۔
اس کا اُردو کمزور ہے,اس کی اُردو کمزور ہے
اس کا سر پاٹ گیا۔,اس کا سر پھٹ گیا۔
اس کا ناک لمبا ہے,اس کی ناک لمبی ہے۔
اس کی نذر کمزور ہے,اس کی نظر کمزور ہے۔
اس نے گھر جانا ہے۔,اسے گھر جانا ہے۔
اس نے آواز نہیں سنا تھا۔,اس نے آواز نہیں سنی تھی۔
اسے سر درد ہو رہی ہے۔,اسے سردرد ہو رہا ہے۔
اسے کوئی کھیل کھیلنی نہیں آتی ۔,اسے کوئی کھیل کھیلنا نہیں آتا۔
اسے ہوش نہیں آئی۔,اسے ہوش نہیں آیا۔
الامہ محمد اقبال عظیم شاعر تھے۔,علامہ محمد اقبال عظیم شاعر تھے۔
انہیں چائے پلاؤ۔,انھیں چائے پلاؤ۔
انھوں نے کہیں نہیں جانا,انھیں کہیں نہیں جانا۔
اُس کو بلا و۔,اُسے بلاؤ۔
باجی در وزا کھول دے۔,باجی دروازہ کھول دیں۔
باغ میں گھاس اُگ آیا ہے۔,باغ میں گھاس اُگ آئی ہے۔
باہر تو کیچڑ ہورہا تھا,باہر تو کیچڑ ہورہی تھی
بچوں نے باہر جانا تھا۔,بچوں کو باہر جانا تھا۔
بچہ قائدہ پڑھ رہا ہے۔,بچہ قاعدہ پڑھ رہا ہے۔
پاکستان نے میزائل بنائی,پاکستان نے میزائل بنایا۔
تم کو کیا چاہیے؟,تمہیں کیا چاہیے؟
تم نے کہیں نہیں جانا۔,تمہیں کہیں نہیں جانا۔
تو نے لاہور جانا ہے۔,تجھے لاہور جانا ہے۔
جنہیں جانا ہے جاؤ۔,جنھیں جانا ہے جائیں۔
درخت اپنے سمر سے پہچانا جاتا ہے۔,درخت اپنے ثمر سے پہنچانا جاتا ہے۔
درد زیادہ ہو رہی ہے۔,درد زیادہ ہو رہا ہے۔
دہی بہت کھٹی تھی,دہی بہت کھٹا تھا۔
سیب کا مربع کھاؤ,سیب کا مربہ کھاؤ۔
سب نے دن بھر پڑھنا ہے۔,سب کو دن بھر پڑھنا ہے۔
سیدھا راہ اختیار کرو۔,سیدھی راہ اختیار کرو۔
سیر صحت کے لئے مفید ہے۔,سیر صحت کے لیے مفید ہے۔
آپ تشریف لاؤ۔,آپ تشریف لائیں۔
غریب کو کھانا کھلانا صواب ہے۔,غریب کو کھانا کھلانا ثواب ہے۔
فوج شہر میں پہنچ گئیں۔,فوج شہر میں پہنچ گئی۔
قابل ایک مشہور شہر ہے,کا بل ایک مشہور شہر ہے ۔
قاعد کا ادب کرو۔,قائد کا ادب کرو۔
کسی نے کیچڑ نہیں ہٹایا۔,کسی نے کیچڑ نہیں ہٹائی۔
کل کی اخبار کہاں ہے؟,کل کا اخبار کہاں ہے؟
کھانے میں زہر ملائی گئی۔,کھانے میں زہر ملایا گیا۔
گالی مت نکالو۔,گالی نہ دو۔
گائے کھیت میں چر رہی ہیں۔,گائے کھیت میں چر رہی ہے۔
گھاس ہرا ہرا ہے۔,گھاس ہری ہری ہے۔
لڑ کا امتحان میں فعل ہو گیا۔,لڑ کا امتحان میں فیل ہو گیا۔
مجھ کو ہسپتال جانا ہے۔,مجھے ہسپتال جانا ہے۔
مجھے کس نے آواز دیا تھا؟,مجھے کس نے آواز دی تھی؟
مرض بڑھ گئی ہے۔,مرض بڑھ گیا ہے۔
مکان مر با شکل کا ہے۔,مکان مربع شکل کا ہے۔
میدان میں افواج تھی۔,میدان میں فوج تھی۔
میرا دل چمن چمن ہو گیا۔,میرا دل باغ باغ ہو گیا۔
میری قلم نی ہے,میر قلم نیا ہے۔
میز کہاں پڑا ہے؟,میز کہاں پڑی ہے
میں اس کی مزاج درست کروں گا۔,میں اس کا مزاج درست کروں گا۔
میں تحفہ آپ کی نظر کر رہا ہوں ۔,میں تحفہ آپ کی نذر کر رہا ہوں۔
میں نے بہت اچھی خواب دیکھی۔,میں نے بہت اچھا خواب دیکھا۔
میں نے دل میں سوچی۔,میں نے دل میں سوچا۔
میں نے ساگ کھائی۔,میں نے ساگ کھایا۔
روٹی تازی ہے۔ روٹی,روٹی تازہ ہے۔
وہ ڈاکٹرنی ہے۔,وہ لیڈی ڈاکٹر ہے۔
وہ فیصلا باد گئے۔,وہ فیصل آباد گئے۔
وہ میز کس کا تھا؟,وہ میز کس کی تھی ؟
وہ وقت ضا یا کر رہا ہے۔,وہ وقت ضائع کر رہا ہے۔
بے فضول باتیں مت کرو۔,فضول باتیں مت کرو۔
یہ واقع کب کا ہے,یہ واقعہ کب کا ہے؟
ایک دم چلے جا‎ؤ,فوراً چلے جاؤ
غصّہ سے اس کا چہرہ سرخ ہوگيا,غصّے سے اس کا چہرہ سرخ ہوگيا
اس کا حساب بے باک کردیا گیا,اس کا حساب بے باق کردیا گیا
اس نے گھر جانا ہے,اسے گھر جانا ہے
امی ابو گھر پر نہیں ہے,امی ابو گھر پر نہیں ہیں
آپ میرے گھر تشریف لاؤ,آپ میرے گھر تشریف لے آؤ
اسے کرکٹ کھیلنا نہیں آتی,اسے کرکٹ کھیلنا نہیں آتا
وہ امتحان میں فعل ہو گیا,وہ امتحان میں فیل ہو گیا
وہ عورت بڑی لڑاکی ہے,وہ عورت بڑی لڑاکا ہے
