X,Y
کباڑیا نے ڈانٹتے ہوئے قلم لے لیا۔,کباڑیا نے ڈانٹتے ہوئے قلم لے لیا۔
’’یار تم بالکل عقل سے پیدل ہو۔,’’یار تم بالکل عقل سے پیدل ہو۔
ایک تو تمہارا خط اتنا خراب ہے کہ تم خود نہیں پڑھ سکتے۔,ایک تو تمہارا خط اتنا خراب ہے کہ تم خود نہیں پڑھ سکتے۔
اس کے علاوہ گھر میں ہر کوئی تمہاری تحریر پہچانتا ہے۔,اس کے علاوہ گھر میں ہر کوئی تمہاری تحریر پہچانتا ہے۔
فوراً ادھر لیے جاؤگے۔,فوراً ادھر لیے جاؤگے۔
‘‘ یوں خط لکھنے کے فرائض کباڑیا نے انجام دیے۔,‘‘ یوں خط لکھنے کے فرائض کباڑیا نے انجام دیے۔
بہت انتظار کے بعد جمعرات کے دن وہ تاریخی خط پہنچ گیا۔,بہت انتظار کے بعد جمعرات کے دن وہ تاریخی خط پہنچ گیا۔
ہم نے دیکھا کہ دوسری ڈاک کے ساتھ وہ پوسٹ کارڈ ہمارے والد صاحب کے سرہانے رکھا تھا۔,ہم نے دیکھا کہ دوسری ڈاک کے ساتھ وہ پوسٹ کارڈ ہمارے والد صاحب کے سرہانے رکھا تھا۔
ابھی تک ہماری اسکیم کامیاب جارہی تھی۔,ابھی تک ہماری اسکیم کامیاب جارہی تھی۔
ہفتہ کے دن تیسرے پہر پلاؤ کی یخنی چولھے پر چڑھ گئی۔,ہفتہ کے دن تیسرے پہر پلاؤ کی یخنی چولھے پر چڑھ گئی۔
شامی کباب کے لیے چنے کی دال اور قیمہ سل پر پسنا شروع ہوا۔,شامی کباب کے لیے چنے کی دال اور قیمہ سل پر پسنا شروع ہوا۔
کھانے کی خوشبو سے شام ہی سے پیٹ میں چوہے دوڑنا شروع ہو گئے۔,کھانے کی خوشبو سے شام ہی سے پیٹ میں چوہے دوڑنا شروع ہو گئے۔
شام چار بجے ایک ایسا بم گرا کہ ہمارے چودہ طبق روشن ہو گئے۔,شام چار بجے ایک ایسا بم گرا کہ ہمارے چودہ طبق روشن ہو گئے۔
ہم سائیکل پر دہی لے کر آ رہے تھے۔,ہم سائیکل پر دہی لے کر آ رہے تھے۔
ہمیں دیکھتے ہی انہوں نے گلے سے لگایا۔,ہمیں دیکھتے ہی انہوں نے گلے سے لگایا۔
ہماری ایسی سٹی گم تھی کہ ہمیں ان کو سلام کرنے کا خیال بھی نہیں آیا۔,ہماری ایسی سٹی گم تھی کہ ہمیں ان کو سلام کرنے کا خیال بھی نہیں آیا۔
دو تین گھنٹے خیریت سے گزر گئے۔,دو تین گھنٹے خیریت سے گزر گئے۔
مغرب کی نماز کے بعد ہم سب لوگ آنگن میں بیٹھے تھے۔,مغرب کی نماز کے بعد ہم سب لوگ آنگن میں بیٹھے تھے۔
ماموں محفل سجائے شکار کے فرضی قصے سنا رہے تھے۔,ماموں محفل سجائے شکار کے فرضی قصے سنا رہے تھے۔
ہماری اماں ادھر سے گزریں اور کہنے لگیں۔,ہماری اماں ادھر سے گزریں اور کہنے لگیں۔
’’ارے بھیا! تو نے تو لکھا۔,’’ارے بھیا! تو نے تو لکھا۔
‘‘ اتنا سنتے ہی ہم پیٹ دبا کر ایسے کراہے کہ سب گھبرا کر ہماری طرف متوجہ ہو گئے۔,‘‘ اتنا سنتے ہی ہم پیٹ دبا کر ایسے کراہے کہ سب گھبرا کر ہماری طرف متوجہ ہو گئے۔
ہم پیٹ پکڑ کر پلنگ پر لیٹ گئے۔,ہم پیٹ پکڑ کر پلنگ پر لیٹ گئے۔
اماں کام چھوڑ کر ہماری طرف لپکیں۔,اماں کام چھوڑ کر ہماری طرف لپکیں۔
گلی میں سے کباڑیا مخصوص سیٹی کی آواز آ رہی تھی۔,گلی میں سے کباڑیا مخصوص سیٹی کی آواز آ رہی تھی۔
شاید وہ بھی بھوک سے تلملا رہے تھے۔,شاید وہ بھی بھوک سے تلملا رہے تھے۔
لاکھوں برس گزرے۔,لاکھوں برس گزرے۔
آسمان پر شمال کی طرف سفید بادلوں کے پہاڑ کے ایک بڑے غار میں ایک بہت بڑا ریچھ رہا کرتا تھا۔,آسمان پر شمال کی طرف سفید بادلوں کے پہاڑ کے ایک بڑے غار میں ایک بہت بڑا ریچھ رہا کرتا تھا۔
یہ ریچھ دن بھر پڑا سوتا رہتا اور شام کے وقت اٹھ کر ستاروں کو چھیڑتا اور ان سے شرارتیں کیا کرتا تھا۔,یہ ریچھ دن بھر پڑا سوتا رہتا اور شام کے وقت اٹھ کر ستاروں کو چھیڑتا اور ان سے شرارتیں کیا کرتا تھا۔
اس کی بدتمیزیوں اور شرارتوں سے آسمان پر بسنے والے تنگ آ گئے تھے۔,اس کی بدتمیزیوں اور شرارتوں سے آسمان پر بسنے والے تنگ آ گئے تھے۔
اور وہ بےچارے ادھر ادھر بھٹکتے پھرتے۔,اور وہ بےچارے ادھر ادھر بھٹکتے پھرتے۔
آخرایک دن تنگ آکر وہ سات ستارے جنہیں سات بہنیں کہتے ہیں۔,آخرایک دن تنگ آکر وہ سات ستارے جنہیں سات بہنیں کہتے ہیں۔
چاند کے عقلمند بوڑھے آدمی کے پاس گئے اور ریچھ کی شرارتوں کا ذکر کر کے اس سے مدد چاہی۔,چاند کے عقلمند بوڑھے آدمی کے پاس گئے اور ریچھ کی شرارتوں کا ذکر کر کے اس سے مدد چاہی۔
بوڑھا تھوڑی دیر تو سر کھجاتا رہا۔,بوڑھا تھوڑی دیر تو سر کھجاتا رہا۔
پھر بولا ’’اچھا میں اس نا معقول کی خوب مرمت کروں گا۔,پھر بولا ’’اچھا میں اس نا معقول کی خوب مرمت کروں گا۔
تم فکر نہ کرو‘‘۔,تم فکر نہ کرو‘‘۔
ساتوں بہنوں نے اس کا شکریہ ادا کیا۔,ساتوں بہنوں نے اس کا شکریہ ادا کیا۔
اور خوش خوش واپس چلی گئیں۔,اور خوش خوش واپس چلی گئیں۔
یہ کہہ کر ریچھ چلا گیا۔,یہ کہہ کر ریچھ چلا گیا۔
جانے کے بعد بوڑھے نہ بہت دیر سوچا کہ اس شیطان کو کس طرح قابو میں لاؤں۔,جانے کے بعد بوڑھے نہ بہت دیر سوچا کہ اس شیطان کو کس طرح قابو میں لاؤں۔
یکایک اسے خیال آیا کہ اورین دیو سے مدد لینی چاہئے۔,یکایک اسے خیال آیا کہ اورین دیو سے مدد لینی چاہئے۔
اورین دیو ایک طاقتور ستارے کا نام تھا۔,اورین دیو ایک طاقتور ستارے کا نام تھا۔
جو اس زمانے میں بہت اچھا شکاری سمجھا جاتا تھا اور اس کی طاقت کی وجہ سے اسے دیو کہتے تھے۔,جو اس زمانے میں بہت اچھا شکاری سمجھا جاتا تھا اور اس کی طاقت کی وجہ سے اسے دیو کہتے تھے۔
یہ سوچ کر بوڑھے نے دوسرے دن اورین دیو کو بلا بھیجا۔,یہ سوچ کر بوڑھے نے دوسرے دن اورین دیو کو بلا بھیجا۔
اس کے آنے پر بڑی دیر تک دونوں میں کانا پھوسی ہوتی رہی۔,اس کے آنے پر بڑی دیر تک دونوں میں کانا پھوسی ہوتی رہی۔
آخر یہ فیصلہ ہوا کہ وہ آج شام ریچھ کو پکڑنے کی کوشش کرے۔,آخر یہ فیصلہ ہوا کہ وہ آج شام ریچھ کو پکڑنے کی کوشش کرے۔
جہاں وہ اب تک بندھے کھڑے ہیں۔,جہاں وہ اب تک بندھے کھڑے ہیں۔
اگر تم رات کو قطب ستارے کی طرف دیکھو تو تمہیں اس کے پاس ہی ریچھ بندھا نظر آئےگا۔,اگر تم رات کو قطب ستارے کی طرف دیکھو تو تمہیں اس کے پاس ہی ریچھ بندھا نظر آئےگا۔
جس کو ان سات بہنوں میں سے چار پکڑے کھڑی ہیں باقی تین بہنوں نے اس کی دم پکڑ رکھی ہے۔,جس کو ان سات بہنوں میں سے چار پکڑے کھڑی ہیں باقی تین بہنوں نے اس کی دم پکڑ رکھی ہے۔
ایک تھی بڑھیا اور اس کا ایک بیٹا بھی تھا۔,ایک تھی بڑھیا اور اس کا ایک بیٹا بھی تھا۔
بیٹا بہت دور رہتا تھا۔,بیٹا بہت دور رہتا تھا۔
بڑھیا اکیلی تھی اور بیمار رہتی تھی۔,بڑھیا اکیلی تھی اور بیمار رہتی تھی۔
"بڑھیا نے سوچا، چلوں اپنے بیٹے کے گھر۔","بڑھیا نے سوچا، چلوں اپنے بیٹے کے گھر۔"
لیکن وہ اپنے بیٹے کے گھر کیسے جاتی۔,لیکن وہ اپنے بیٹے کے گھر کیسے جاتی۔
اس کا گھوڑا بھی نہیں تھا اور نہ کوئی سنگی ساتھی۔,اس کا گھوڑا بھی نہیں تھا اور نہ کوئی سنگی ساتھی۔
وہ کیا کرتی۔,وہ کیا کرتی۔
اپنے بیٹے کے گھر کیسے جاتی۔,اپنے بیٹے کے گھر کیسے جاتی۔
اپنے بیٹے کے گھر کیسے جاؤں۔,اپنے بیٹے کے گھر کیسے جاؤں۔
بڑھیا کے گھر میں ایک بڑا سا مٹکا تھا۔,بڑھیا کے گھر میں ایک بڑا سا مٹکا تھا۔
"میں لے جاؤں گا تمہیں، تمہارے بیٹے کے گھر۔","میں لے جاؤں گا تمہیں، تمہارے بیٹے کے گھر۔"
اس رات بہت بارش ہوئی۔,اس رات بہت بارش ہوئی۔
ندی نالوں میں پانی آ گیا۔,ندی نالوں میں پانی آ گیا۔
چاروں طرف پانی ہی پانی۔,چاروں طرف پانی ہی پانی۔
گلیاں اور بازار پانی سے بھر گئے۔,گلیاں اور بازار پانی سے بھر گئے۔
مٹکا پانی میں اتر گیا اور تیرنے لگا۔,مٹکا پانی میں اتر گیا اور تیرنے لگا۔
گلیوں اور بازاروں سے ہوتا ہوا۔,گلیوں اور بازاروں سے ہوتا ہوا۔
راستے میں جنگل تھا۔,راستے میں جنگل تھا۔
جنگل میں جانور تھے۔,جنگل میں جانور تھے۔
جانوروں کو دیکھ کر بڑھیا ڈر گئی۔,جانوروں کو دیکھ کر بڑھیا ڈر گئی۔
میں تو کمزور سی ہوں۔,میں تو کمزور سی ہوں۔
مجھے بیٹے کے گھر جانے دو۔,مجھے بیٹے کے گھر جانے دو۔
بیٹے کے گھر۔,بیٹے کے گھر۔
اچھے اچھے کھانے کھاؤں گی تو موٹی ہوجاؤں گی۔,اچھے اچھے کھانے کھاؤں گی تو موٹی ہوجاؤں گی۔
جب بیٹے کے گھر سے واپس آؤں گی تب کھا لینا۔,جب بیٹے کے گھر سے واپس آؤں گی تب کھا لینا۔
"‘‘ 

شیر بولا، ’’ہوں۔","‘‘ 

شیر بولا، ’’ہوں۔"
"‘‘ 

لکڑبگا اور ریچھ بولے، ’’ہوں‘‘ 

بڑھیا کی جان میں جان آئی تو بولی، 

چل میرے مٹکے ٹم مک ٹم 

کہاں کی بڑھیا، کہاں کے تم 

مٹکا چل پڑا۔","‘‘ 

لکڑبگا اور ریچھ بولے، ’’ہوں‘‘ 

بڑھیا کی جان میں جان آئی تو بولی، 

چل میرے مٹکے ٹم مک ٹم 

کہاں کی بڑھیا، کہاں کے تم 

مٹکا چل پڑا۔"
"بڑھیا، جنگل سے نکل کر اپنے بیٹے کے گھر پہنچی۔","بڑھیا، جنگل سے نکل کر اپنے بیٹے کے گھر پہنچی۔"
وہ بہت خوش تھی۔,وہ بہت خوش تھی۔
بیٹے نے اسے اچھے اچھے کھانے کھلائے بڑھیا نے جی بھر کر کھایا۔,بیٹے نے اسے اچھے اچھے کھانے کھلائے بڑھیا نے جی بھر کر کھایا۔
"بڑھیا، کھا کھا کر خوب موٹی تازی ہو گئی۔","بڑھیا، کھا کھا کر خوب موٹی تازی ہو گئی۔"
"ایک دن بڑھیا کہنےلگی، ’’بیٹا ، اب میں اپنے گھر جاؤں گی۔","ایک دن بڑھیا کہنےلگی، ’’بیٹا ، اب میں اپنے گھر جاؤں گی۔"
راستے میں جنگل تھا۔,راستے میں جنگل تھا۔
"جنگل میں شیر، لکڑبگا اور ریچھ تھے۔","جنگل میں شیر، لکڑبگا اور ریچھ تھے۔"
شیر نے مٹکے میں بیٹھی بڑھیا کو دیکھ لیا۔,شیر نے مٹکے میں بیٹھی بڑھیا کو دیکھ لیا۔
"‘‘ یہ سن کر بڑھیا بولی، ’’پہلے مجھے دو دو مٹھی ریت لادو، تب کھانا۔","‘‘ یہ سن کر بڑھیا بولی، ’’پہلے مجھے دو دو مٹھی ریت لادو، تب کھانا۔"
‘‘ وہ مان گئے۔,‘‘ وہ مان گئے۔
دو مٹھی ریت شیرلایا۔,دو مٹھی ریت شیرلایا۔
دو مٹھی لکڑبگا اور دو مٹھی ریچھ لایا۔,دو مٹھی لکڑبگا اور دو مٹھی ریچھ لایا۔
اب جانور اسے کیسے کھاتے۔,اب جانور اسے کیسے کھاتے۔
جنگل کے جانور پیچھے رہ گئے اور بڑھیا اپنے گھر پہنچ گئی۔,جنگل کے جانور پیچھے رہ گئے اور بڑھیا اپنے گھر پہنچ گئی۔
پیرس میں ابراہیم نام کا ایک آدمی اپنی بیوی بچوں کے ساتھ ایک جھونپڑی میں رہتا تھا۔,پیرس میں ابراہیم نام کا ایک آدمی اپنی بیوی بچوں کے ساتھ ایک جھونپڑی میں رہتا تھا۔
وہ ایک معمولی اوقات کا عیال دار تھا۔,وہ ایک معمولی اوقات کا عیال دار تھا۔
مگر تھا بہت ایماندار اور سخی۔,مگر تھا بہت ایماندار اور سخی۔
اس کا گھر شہر سے دس میل دور تھا۔,اس کا گھر شہر سے دس میل دور تھا۔
اس کی جھونپڑی کے پاس سے ایک پتلی سے سڑک جاتی تھی۔,اس کی جھونپڑی کے پاس سے ایک پتلی سے سڑک جاتی تھی۔
ایک گاؤں سے دوسرے گاؤں کو مسافر اسی سڑک سے آتے جاتے تھے۔,ایک گاؤں سے دوسرے گاؤں کو مسافر اسی سڑک سے آتے جاتے تھے۔
ابراہیم ان کی مناسب خاطرداری کرتا۔,ابراہیم ان کی مناسب خاطرداری کرتا۔
بعد میں باقی سب آدمی بھی اس دعا کو دہراتے۔,بعد میں باقی سب آدمی بھی اس دعا کو دہراتے۔
مسافروں کی خدمت کا یہ سلسلہ کئی سال تک جاری رہا۔,مسافروں کی خدمت کا یہ سلسلہ کئی سال تک جاری رہا۔
لیکن سب کے دن سدا ایک سے نہیں رہتے۔,لیکن سب کے دن سدا ایک سے نہیں رہتے۔
زمانے کے پھیر میں پڑکر ابراہیم غریب ہو گیا۔,زمانے کے پھیر میں پڑکر ابراہیم غریب ہو گیا۔
اس پر بھی اس نے مسافروں کو کھانا دینابند کیا۔,اس پر بھی اس نے مسافروں کو کھانا دینابند کیا۔
ایک دن دوپہر کو اس کے دروازے پر ایک تھکا ماندہ بوڑھا آیا۔,ایک دن دوپہر کو اس کے دروازے پر ایک تھکا ماندہ بوڑھا آیا۔
وہ بہت ہی کمزور تھا۔,وہ بہت ہی کمزور تھا۔
کچھ دیرآرام کرکے بوڑھا بولا۔,کچھ دیرآرام کرکے بوڑھا بولا۔
’’بیٹا میں بہت دور سے آ رہا ہوں۔,’’بیٹا میں بہت دور سے آ رہا ہوں۔
مجھے بہت بھوک لگ رہی ہے۔,مجھے بہت بھوک لگ رہی ہے۔
اس دعا کو اس کے بیوی بچوں نے اس کے پیچھے کھڑے ہوکر دہرایا۔,اس دعا کو اس کے بیوی بچوں نے اس کے پیچھے کھڑے ہوکر دہرایا۔
ابراہیم نے دیکھا وہ بوڑھا چپ چاپ بیٹھا ہے۔,ابراہیم نے دیکھا وہ بوڑھا چپ چاپ بیٹھا ہے۔
اس پر اس نے بوڑھے سے پوچھا۔,اس پر اس نے بوڑھے سے پوچھا۔
’’ہم لوگ آ گ کی پوجا کرتے ہیں۔,’’ہم لوگ آ گ کی پوجا کرتے ہیں۔
مگر دروازہ بند کرتے ہی کمرے میں اچانک روشنی پھیل گئی اورایک فرشتے نے ظاہر ہوکر کہا۔,مگر دروازہ بند کرتے ہی کمرے میں اچانک روشنی پھیل گئی اورایک فرشتے نے ظاہر ہوکر کہا۔
دنیا میں مذہب چاہے بے شمار ہوں۔,دنیا میں مذہب چاہے بے شمار ہوں۔
لیکن خدا سب کا سچا خالق ہے اورسب کا وہی ایک مالک ہے۔,لیکن خدا سب کا سچا خالق ہے اورسب کا وہی ایک مالک ہے۔
ابراہیم کو اپنی غلطی معلوم ہوئی اور وہ بھاگا بھاگا اس بوڑھے کے پاس پہنچا اور اس بوڑھے بزرگ سے معافی مانگی۔,ابراہیم کو اپنی غلطی معلوم ہوئی اور وہ بھاگا بھاگا اس بوڑھے کے پاس پہنچا اور اس بوڑھے بزرگ سے معافی مانگی۔
بوڑھے نے اسے معاف کرتے ہوئے کہا۔,بوڑھے نے اسے معاف کرتے ہوئے کہا۔
’بیٹا اب توتم سمجھ گئے ہوگے کہ خدا سب کا ایک ہے۔,’بیٹا اب توتم سمجھ گئے ہوگے کہ خدا سب کا ایک ہے۔
کیونکہ یہی بات اس سے فرشتے نے بھی کہی تھی۔,کیونکہ یہی بات اس سے فرشتے نے بھی کہی تھی۔
باجی آج کل محسوس کر رہی تھیں کہ بشریٰ اب کچھ الجھی الجھی اور پریشان رہنے لگی ہے۔,باجی آج کل محسوس کر رہی تھیں کہ بشریٰ اب کچھ الجھی الجھی اور پریشان رہنے لگی ہے۔
"اب اسے کیا پریشانی تھی، باجی یہی جاننا چاہتی تھی۔","اب اسے کیا پریشانی تھی، باجی یہی جاننا چاہتی تھی۔"
ثاقب نہ ہوا تو کیا؟‘‘ بشریٰ نے چوٹی گوندھتے ہوئے چڑ کر کہا۔,ثاقب نہ ہوا تو کیا؟‘‘ بشریٰ نے چوٹی گوندھتے ہوئے چڑ کر کہا۔
اس شام کو وہ کونی کے ساتھ اس کے گھر گئی اور وہاں اس کی شان دار نرسری دیکھی۔,اس شام کو وہ کونی کے ساتھ اس کے گھر گئی اور وہاں اس کی شان دار نرسری دیکھی۔
"کونی نے ایک بڑی کانچ کی الماری کھولی، جس میں ڈیڑھ دو فٹ لمبی ایک خوبصورت گڑیا تھی۔","کونی نے ایک بڑی کانچ کی الماری کھولی، جس میں ڈیڑھ دو فٹ لمبی ایک خوبصورت گڑیا تھی۔"
اس نے بہت احتیاط کے ساتھ اسے نیچے اتار کر دکھایا۔,اس نے بہت احتیاط کے ساتھ اسے نیچے اتار کر دکھایا۔
بشریٰ نے بےاختیار ہو کر گڑیا کا گلابی گال چوم لیا۔,بشریٰ نے بےاختیار ہو کر گڑیا کا گلابی گال چوم لیا۔
کونی نے فخر سے کہا۔,کونی نے فخر سے کہا۔
’’ابھی تم نے اس کی باتیں کہاں سنی ہیں۔,’’ابھی تم نے اس کی باتیں کہاں سنی ہیں۔
لو اب سنو۔,لو اب سنو۔
’’میرے تین سو بچے ہیں۔,’’میرے تین سو بچے ہیں۔
میں ایک ہزار سال کی ہوں۔,میں ایک ہزار سال کی ہوں۔
میرے غسل خانے میں ایک اژدھا ہے۔,میرے غسل خانے میں ایک اژدھا ہے۔
’’بھئی یہ تو بہت جھوٹ بولتی ہے۔,’’بھئی یہ تو بہت جھوٹ بولتی ہے۔
‘‘ اس کا نام چارمن چیٹی ہے۔,‘‘ اس کا نام چارمن چیٹی ہے۔
"کونی دوڑ کر اس کے لئے دودھ لے آئی، جسے اس نے مزے لے لے کر پی لیا اور بلبلے بھی اڑائے۔","کونی دوڑ کر اس کے لئے دودھ لے آئی، جسے اس نے مزے لے لے کر پی لیا اور بلبلے بھی اڑائے۔"
’’میرے خدا‘‘ بشریٰ نے دونوں ہاتھ سینے پر رکھ کر کہا’’اتنی پیاری گڑیاں میں نے آج تک نہیں دیکھی تھیں۔,’’میرے خدا‘‘ بشریٰ نے دونوں ہاتھ سینے پر رکھ کر کہا’’اتنی پیاری گڑیاں میں نے آج تک نہیں دیکھی تھیں۔
"‘‘ کونی نے شان سے کہا اور ایک تیسری گڑیا دکھائی، جس کا ایک پیچ گھماتے ہی اس کے سر پر سچ مچ بال اگ آئے۔","‘‘ کونی نے شان سے کہا اور ایک تیسری گڑیا دکھائی، جس کا ایک پیچ گھماتے ہی اس کے سر پر سچ مچ بال اگ آئے۔"
’’اسی کا نام کیا ہے بشریٰ نے گڑیا کے نرم بالوں پر اپنی انگلیاں پھیرتے ہوئے کہا۔,’’اسی کا نام کیا ہے بشریٰ نے گڑیا کے نرم بالوں پر اپنی انگلیاں پھیرتے ہوئے کہا۔
ایک ڈوری کو کھینچتے ہی دو کٹھ پتلیاں باتیں کرنے لگیں۔,ایک ڈوری کو کھینچتے ہی دو کٹھ پتلیاں باتیں کرنے لگیں۔
ایک رائفل سے جب فائز کئے گئے تو چھوٹا سا ریچھ چیختا چلاتا گرتا پڑتا ساری نرسری میں دوڑ لگانے لگا۔,ایک رائفل سے جب فائز کئے گئے تو چھوٹا سا ریچھ چیختا چلاتا گرتا پڑتا ساری نرسری میں دوڑ لگانے لگا۔
بانسری کی آواز سن کر ایک کتا اترا اترا کر چلنے لگا۔,بانسری کی آواز سن کر ایک کتا اترا اترا کر چلنے لگا۔
بشریٰ کو محسوس ہوا جیسے وہ پریوں کی دنیا میں پہنچ گئی ہو۔,بشریٰ کو محسوس ہوا جیسے وہ پریوں کی دنیا میں پہنچ گئی ہو۔
اس کا جی چاہا کہ ہمیشہ کے لئے وہیں رہ جائے۔,اس کا جی چاہا کہ ہمیشہ کے لئے وہیں رہ جائے۔
جب کوئی نرسری کی سیر کرا چکی تو بشریٰ نے حسرت سے پوچھا۔,جب کوئی نرسری کی سیر کرا چکی تو بشریٰ نے حسرت سے پوچھا۔
"’’یہ سب کھلونے تمہارے پاس کہاں سے آئے؟‘‘
کونی نے کسی ہنس کی طرح گردن اٹھاکر۔","’’یہ سب کھلونے تمہارے پاس کہاں سے آئے؟‘‘
کونی نے کسی ہنس کی طرح گردن اٹھاکر۔"
’’میرے ڈیڈی امریکہ سے آتے ہوئے لائے تھے۔,’’میرے ڈیڈی امریکہ سے آتے ہوئے لائے تھے۔
بشریٰ نے ٹھنڈا سانس لی اور گھر لوٹ آئی۔,بشریٰ نے ٹھنڈا سانس لی اور گھر لوٹ آئی۔
گھر آتے ہی بشریٰ نے اپنے کھلونے کا جائزہ لیا ایک گڈے کو ہاتھ میں لے کر الٹ پلٹ کر دیکھا اور فرش پر دے مارا۔,گھر آتے ہی بشریٰ نے اپنے کھلونے کا جائزہ لیا ایک گڈے کو ہاتھ میں لے کر الٹ پلٹ کر دیکھا اور فرش پر دے مارا۔
وہ گویا احتجاجاً بولا ’’پیں‘‘ دوسرے لمحے ربر کا ایک خرگوش پھدک پھدک کر الٹا ہو گیا۔,وہ گویا احتجاجاً بولا ’’پیں‘‘ دوسرے لمحے ربر کا ایک خرگوش پھدک پھدک کر الٹا ہو گیا۔
"تیسرا نمبر ایک چست و چالاک جاپانی گڑیا کا تھا، جو نیچے گر کر ٹکڑے ٹکڑے ہو گئی۔","تیسرا نمبر ایک چست و چالاک جاپانی گڑیا کا تھا، جو نیچے گر کر ٹکڑے ٹکڑے ہو گئی۔"
"’’کس کام کے ہیں یہ لوگ‘‘ وہ بڑبڑائی، ’’کوئی گونگا، کوئی بدصورت، کوئ نکی تو کوئی چڑیل۔","’’کس کام کے ہیں یہ لوگ‘‘ وہ بڑبڑائی، ’’کوئی گونگا، کوئی بدصورت، کوئ نکی تو کوئی چڑیل۔"
"جنہیں سردیوں کی راتوں میں وہ ننھے ننھے لحافوں میں سلایا کرتی، آج زمین پر ٹوٹے پھوٹے پڑے تھے اور انہیں بشریٰ کا کوئی افسوس نہ ہوا۔","جنہیں سردیوں کی راتوں میں وہ ننھے ننھے لحافوں میں سلایا کرتی، آج زمین پر ٹوٹے پھوٹے پڑے تھے اور انہیں بشریٰ کا کوئی افسوس نہ ہوا۔"
اس کی اس حرکت پر بشریٰ کو خوب ڈانٹ پڑی۔,اس کی اس حرکت پر بشریٰ کو خوب ڈانٹ پڑی۔
امی ابا نے کبھی فرمائش نہ پوری کرنے کی دھمکیاں دیں۔,امی ابا نے کبھی فرمائش نہ پوری کرنے کی دھمکیاں دیں۔
بھائی جان نے ’’ناشکری چڑیل‘‘ کا خطاب دیا۔,بھائی جان نے ’’ناشکری چڑیل‘‘ کا خطاب دیا۔
چھوٹے بھائی ثاقب نے ’’توڑ پھوڑ‘‘ نام رکھ دیا۔,چھوٹے بھائی ثاقب نے ’’توڑ پھوڑ‘‘ نام رکھ دیا۔
باجی کی نصیحتیں الگ سننی پڑیں۔,باجی کی نصیحتیں الگ سننی پڑیں۔
اتنے کالے بادل کہ بشریٰ کے بالوں سے ان کا رنگ مل گیا۔,اتنے کالے بادل کہ بشریٰ کے بالوں سے ان کا رنگ مل گیا۔
ان کی گرج برس دیکھنے کے لئے وہ برآمدے میں چلی آئی۔,ان کی گرج برس دیکھنے کے لئے وہ برآمدے میں چلی آئی۔
کچھ ہی دیر میں موٹی موٹی بوندیں ٹپ ٹپ گر کر سوندھی خوشبو اڑانے لگیں۔,کچھ ہی دیر میں موٹی موٹی بوندیں ٹپ ٹپ گر کر سوندھی خوشبو اڑانے لگیں۔
دیکھتے ہی دیکھتے زمین بھیگ گئی۔,دیکھتے ہی دیکھتے زمین بھیگ گئی۔
بشریٰ نے انہیں برآمدے میں پناہ دے دی۔,بشریٰ نے انہیں برآمدے میں پناہ دے دی۔
